year,airdomainindex,builtdomain,landdomain,envqual,sociodemo,waterdomain,OBJECTID,FIPS,COUNTY,NAME,_match
2010,0.18,0.375,0.92,0.45,0.57,-0.079,3049,55001,Adams,Adams,32.63310395
2010,-0.077,-1.66,-0.52,-0.949,-0.006,0.588,3050,55003,Ashland,Ashland,23.32488229
2010,-0.122,-0.43,1.08,0.025,-0.15,0.127,3051,55005,Barron,Barron,21.69503803
2010,-0.063,-0.987,-0.631,-0.643,-0.218,0.275,3052,55007,Bayfield,Bayfield,23.83194495
2010,-0.681,0.217,0.569,0.172,-1.316,0.662,3053,55009,Brown,Brown,1.448750453
2010,1.466,-0.375,0.454,0.692,-0.03,-0.338,3054,55011,Buffalo,Buffalo,79.210431
2010,-0.154,-1.033,0.1,-0.599,0.527,0.426,3055,55013,Burnett,Burnett,20.53603767
2010,-0.399,1.437,0.696,0.999,-1.117,0.724,3056,55015,Calumet,Calumet,11.66244114
2010,0.708,0.496,0.536,0.982,-0.47,0.617,3057,55017,Chippewa,Chippewa,51.75660992
2010,0.384,0.354,0.559,0.63,0.371,0.679,3058,55019,Clark,Clark,40.02173126
2010,-0.241,-0.023,0.708,0.249,-0.69,0.665,3059,55021,Columbia,Columbia,17.38500543
2010,0.646,-0.289,0.399,0.339,0.142,0.215,3060,55023,Crawford,Crawford,49.51104672
2010,0.093,-0.015,1.113,0.84,-2.731,0.797,3061,55025,Dane,Dane,29.48207171
2010,1.454,0.897,1.005,1.756,-0.408,0.74,3062,55027,Dodge,Dodge,78.77580587
2010,0.785,-1.343,0.624,-0.037,-0.698,-0.121,3063,55029,Door,Door,54.54545455
2010,0.001,-0.399,-0.603,-0.296,-0.595,-0.034,3064,55031,Douglas,Douglas,26.14994567
2010,0.378,0.511,0.901,0.877,-0.568,0.441,3065,55033,Dunn,Dunn,39.80441869
2010,0.051,-0.125,0.361,0.327,-1.242,0.575,3066,55035,Eau Claire,Eau Claire,27.96088374
2010,0.586,-0.49,-1.309,-0.398,0.719,-0.202,3067,55037,Florence,Florence,47.33792104
2010,-0.653,0.344,0.74,0.214,-0.484,0.787,3068,55039,Fond du Lac,Fond du Lac,2.46287577
2010,0.74,-0.945,-1.212,-0.571,0.958,-0.274,3069,55041,Forest,Forest,52.91561029
2010,-0.721,-0.298,0.871,-0.195,-0.315,0.571,3070,55043,Grant,Grant,0
2010,0.233,0.268,0.816,0.694,-0.742,0.588,3071,55045,Green,Green,34.5526983
2010,0.683,-0.463,1.044,0.518,0.049,0.597,3072,55047,Green Lake,Green Lake,50.85114089
2010,0.274,0.199,0.99,0.718,-0.855,0.469,3073,55049,Iowa,Iowa,36.03766751
2010,-0.13,-1.44,-1.508,-1.329,0.458,-0.21,3074,55051,Iron,Iron,21.40528794
2010,-0.47,0.23,0.087,-0.137,0.113,0.001,3075,55053,Jackson,Jackson,9.090909091
2010,0.006,0.734,1.023,0.87,-0.848,0.54,3076,55055,Jefferson,Jefferson,26.33103948
2010,0.849,0.078,0.89,0.69,0.242,-0.172,3077,55057,Juneau,Juneau,56.86345527
2010,0.114,1.043,0.461,0.966,-1.025,0.496,3078,55059,Kenosha,Kenosha,30.2426657
2010,1.308,0.28,0.856,1.241,-0.162,0.564,3079,55061,Kewaunee,Kewaunee,73.48786671
2010,0.4,-0.177,0.694,0.56,-1.24,0.451,3080,55063,La Crosse,La Crosse,40.60123144
2010,0.723,0.252,0.301,0.759,-0.133,0.631,3081,55065,Lafayette,Lafayette,52.29989134
2010,-0.085,-0.411,0.603,-0.208,0.685,-0.039,3082,55067,Langlade,Langlade,23.0351322
2010,0.091,0.022,-0.44,0.063,-0.053,0.565,3083,55069,Lincoln,Lincoln,29.40963419
2010,0.021,0.257,0.812,0.567,-0.477,0.779,3084,55071,Manitowoc,Manitowoc,26.8743209
2010,0.927,0.191,0.798,1.117,-0.82,0.926,3085,55073,Marathon,Marathon,59.68851865
2010,0.589,-0.519,0.291,0.201,0.287,0.553,3086,55075,Marinette,Marinette,47.44657733
2010,0.406,0.046,0.592,0.467,0.287,0.515,3087,55077,Marquette,Marquette,40.81854401
2010,-0.04,1.169,-1.425,-0.254,1.712,-1.383,3088,55078,Menominee,Menominee,24.66497646
2010,-0.409,0.059,-1.268,-0.277,-1.388,0.373,3089,55079,Milwaukee,Milwaukee,11.30025353
2010,2.04,-0.153,0.451,1.284,-0.191,0.338,3090,55081,Monroe,Monroe,100
2010,0.118,0.223,0.488,0.435,0.076,0.707,3091,55083,Oconto,Oconto,30.38754075
2010,0.04,-1.15,-0.63,-0.604,-0.272,0.592,3092,55085,Oneida,Oneida,27.56247736
2010,-0.08,0.505,0.707,0.716,-1.274,0.763,3093,55087,Outagamie,Outagamie,23.21622601
2010,1.417,0.271,0.621,1.57,-2.233,0.89,3094,55089,Ozaukee,Ozaukee,77.4357117
2010,1.103,-0.419,1.066,0.801,-0.148,0.541,3095,55091,Pepin,Pepin,66.06302064
2010,-0.144,0.691,0.668,0.661,-0.847,0.489,3096,55093,Pierce,Pierce,20.89822528
2010,0.302,-0.129,0.622,0.286,-0.149,0.018,3097,55095,Polk,Polk,37.05179283
2010,-0.186,0.043,1.513,0.596,-1.089,0.773,3098,55097,Portage,Portage,19.37703731
2010,0.542,-0.808,-0.204,-0.241,0.222,-0.203,3099,55099,Price,Price,45.74429555
2010,-0.301,0.651,0.719,0.643,-0.992,0.813,3100,55101,Racine,Racine,15.21187975
2010,1.362,-0.159,0.603,0.962,0.114,0.697,3101,55103,Richland,Richland,75.44367983
2010,0.031,0.453,0.974,0.721,-0.687,0.641,3102,55105,Rock,Rock,27.23650851
2010,1.156,-0.334,0.245,0.572,0.476,0.484,3103,55107,Rusk,Rusk,67.98261499
2010,0.23,-0.353,0.898,0.35,-0.704,0.441,3105,55111,Sauk,Sauk,34.44404201
2010,0.253,-1.391,-0.717,-0.731,0.186,0.39,3106,55113,Sawyer,Sawyer,35.27707352
2010,-0.387,0.244,0.32,0.06,0.118,0.438,3107,55115,Shawano,Shawano,12.09706628
2010,0.221,0.247,0.688,0.652,-0.795,0.604,3108,55117,Sheboygan,Sheboygan,34.11807316
2010,-0.261,0.713,0.613,0.358,-1.741,-1.375,3104,55109,St. Croix,Saint Croix,16.66063021
2010,0.971,0.399,0.456,0.992,0.232,0.746,3109,55119,Taylor,Taylor,61.28214415
2010,-0.28,-0.065,0.764,0.114,-0.227,0.424,3110,55121,Trempealeau,Trempealeau,15.97247374
2010,-0.044,0.107,0.666,0.249,-0.111,0.162,3111,55123,Vernon,Vernon,24.52010141
2010,-0.122,-1.618,-1.321,-1.243,-0.374,-0.111,3112,55125,Vilas,Vilas,21.69503803
2010,-0.524,0.395,0.806,0.366,-0.82,0.74,3113,55127,Walworth,Walworth,7.13509598
2010,0.727,-0.85,0.086,0.105,0.075,0.698,3114,55129,Washburn,Washburn,52.44476639
2010,-0.437,1.145,0.871,0.924,-1.453,0.792,3115,55131,Washington,Washington,10.28612821
2010,1.256,0.83,0.559,1.753,-2.407,0.734,3116,55133,Waukesha,Waukesha,71.60449113
2010,1.435,-0.103,0.781,1.132,-0.175,0.773,3117,55135,Waupaca,Waupaca,78.0876494
2010,0.449,-0.001,1.108,0.623,0.371,0.689,3118,55137,Waushara,Waushara,42.37595074
2010,-0.021,0.321,0.545,0.557,-1.123,0.59,3119,55139,Winnebago,Winnebago,25.35313292
2010,1.246,-0.239,0.554,0.921,-0.52,0.679,3120,55141,Wood,Wood,71.24230351
